晴	CAVOK
干雷	TS
机场附近有雷	VCTS
弱雷雨	-TSRA
中雷雨	TSRA
强雷雨	+TSRA
中度雷雨伴小冰雹	TSRAGS
弱雷雨伴小冰雹	-TSRAGS
强雷雨伴小冰雹	+TSRAGS
中雨	RA
小雨	-RA
大雨	+RA
冻雨	FZRA
小阵雨	-SHRA
中阵雨	SHRA
大阵雨	+SHRA
机场附近有阵雨	VCSH
毛毛雨	DZ
小毛毛雨	-DZ
强毛毛雨	+DZ
冻毛毛雨	FZDZ
雨夹雪	RASN
强雨夹雪	+RASN
小雨夹雪	-RASN
雨夹雪	SNRA
强雨夹雪	+SNRA
小雨夹雪	-SNRA
中度阵性雨夹雪	SHRASN
强阵性雨夹雪	+SHRASN
弱阵性雨夹雪	-SHRASN
阵性雨夹雪	SHSNRA
强阵性雨夹雪	+SHSNRA
弱阵性雨夹雪	-SHSNRA
雷雨夹雪	TSRASN
强雷雨夹雪	+TSRASN
弱雷雨夹雪	-TSRASN
中雪	SN
大雪	+SN
小雪	-SN
阵雪	SHSN
大阵雪	+SHSN
小阵雪	-SHSN
雷暴降雪伴小冰雹	TSSNGS
强雷暴降雪伴小冰雹	+TSSNGS
弱雷暴降雪伴小冰雹	-TSSNGS
米雪	SG
小冰雹	GS
冰雹	GR
冰粒	PL
冰针	IC
高吹雪	BLSN
低吹雪	DRSN
雾	FG
机场附近有雾 VCFG
轻雾	BR
冻雾	FZFG
浅雾	MIFG
碎雾	BCFG
部分雾	PRFG
烟	FU
霾	HZ
火山灰	VA
浮尘	DU
尘暴	DS
高吹尘	BLDU
低吹尘	DRDU
扬沙	SA
沙暴	SS
高吹沙	BLSA
低吹沙	DRSA
大风	GA
飑	SQ
漏斗云	FC
沙旋风	PO
积雪	PS
霜	FR
雾凇	RI
雨凇	VG
喷雾	PY
